month	consumption_peak_in_kwh	consumption_off_peak_in_kwh	measured_demand_peak_in_kw	measured_demand_off_peak_in_kw	contract_demand_peak_in_kw	contract_demand_off_peak_in_kw
January/19	6036.00	74963.00	152.46	328.86	400.00	400.00
February/19	7304.00	89052.00	141.12	335.16	400.00	400.00
March/19	11701.00	90147.00	294.89	419.50	400.00	400.00
April/19	13513.00	104291.00	286.02	415.80	400.00	400.00
May/19	11824.00	95312.00	260.82	375.48	400.00	400.00
June/19	9855.00	75999.00	217.98	349.02	400.00	400.00
July/19	6162.00	55884.00	153.72	244.44	400.00	400.00
August/19	8655.00	66206.00	207.90	284.76	400.00	400.00
September/19	14504.00	101701.00	313.74	454.86	400.00	400.00
October/19	13062.00	100019.00	309.96	471.24	400.00	400.00
November/19	13792.00	116523.00	332.64	506.52	400.00	400.00
December/19	10959.00	96363.00	296.10	454.86	400.00	400.00